notice,ark
32701903,https://gallica.bnf.fr/ark:/12148/cb32701903m/date
32681792,https://gallica.bnf.fr/ark:/12148/cb326817920/date
32742289,https://gallica.bnf.fr/ark:/12148/cb327422899/date
32742299,https://gallica.bnf.fr/ark:/12148/cb32742299m/date
32742382,https://gallica.bnf.fr/ark:/12148/cb327423825/date
34349421,https://gallica.bnf.fr/ark:/12148/cb34349421h/date
32742387,https://gallica.bnf.fr/ark:/12148/cb32742387w/date
34363712,https://gallica.bnf.fr/ark:/12148/cb34363712b/date
34484221,https://gallica.bnf.fr/ark:/12148/cb34484221r/date
32742416,https://gallica.bnf.fr/ark:/12148/cb32742416n/date
34428386,https://gallica.bnf.fr/ark:/12148/cb34428386b/date
32742304,https://gallica.bnf.fr/ark:/12148/cb32742304c/date
34440124,https://gallica.bnf.fr/ark:/12148/cb34440124q/date
34440142,https://gallica.bnf.fr/ark:/12148/cb34440142n/date
34420609,https://gallica.bnf.fr/ark:/12148/cb34420609s/date
32742410,https://gallica.bnf.fr/ark:/12148/cb32742410k/date
32750072,https://gallica.bnf.fr/ark:/12148/cb32750072r/date
32750934,https://gallica.bnf.fr/ark:/12148/cb32750934p/date
32764917,https://gallica.bnf.fr/ark:/12148/cb327649178/date
38754089,https://gallica.bnf.fr/ark:/12148/cb387540898/date
32764924,https://gallica.bnf.fr/ark:/12148/cb32764924j/date
32775271,https://gallica.bnf.fr/ark:/12148/cb32775271k/date
34447424,https://gallica.bnf.fr/ark:/12148/cb344474247/date
32784014,https://gallica.bnf.fr/ark:/12148/cb327840145/date
34390028,https://gallica.bnf.fr/ark:/12148/cb34390028p/date
34389537,https://gallica.bnf.fr/ark:/12148/cb343895370/date
32832311,https://gallica.bnf.fr/ark:/12148/cb32832311m/date
36141101,https://gallica.bnf.fr/ark:/12148/cb361411012/date
32832473,https://gallica.bnf.fr/ark:/12148/cb32832473f/date
34519208,https://gallica.bnf.fr/ark:/12148/cb34519208g/date
32857270,https://gallica.bnf.fr/ark:/12148/cb32857270g/date
32839445,https://gallica.bnf.fr/ark:/12148/cb32839445w/date
Numéro de notice,https://gallica.bnf.fr/ark:/12148/cb47381814r/date
34383043,https://gallica.bnf.fr/ark:/12148/cb343830433/date
32742344,https://gallica.bnf.fr/ark:/12148/cb32742344m/date
34349411,https://gallica.bnf.fr/ark:/12148/cb343494116/date
34348401,https://gallica.bnf.fr/ark:/12148/cb34348401n/date
